filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,158,29,373,42,746,101
/cmpt816/linux/init/version.c,7,1,9,5,34,6
/cmpt816/linux/init/do_mounts.c,38,16,305,14,430,51
/cmpt816/linux/init/do_mounts_rd.c,65,13,255,10,430,58
/cmpt816/linux/init/do_mounts_initrd.c,11,4,84,9,125,15
/cmpt816/linux/init/initramfs.c,19,29,383,10,509,52
/cmpt816/linux/init/calibrate.c,49,4,91,4,174,21
/cmpt816/linux/arch/x86_64/kernel/process.c,157,31,510,32,818,96
/cmpt816/linux/arch/x86_64/kernel/signal.c,69,12,319,18,497,71
/cmpt816/linux/arch/x86_64/kernel/traps.c,254,35,513,31,967,94
/cmpt816/linux/arch/x86_64/kernel/irq.c,22,4,97,7,156,18
/cmpt816/linux/arch/x86_64/kernel/ptrace.c,119,14,459,22,675,63
/cmpt816/linux/arch/x86_64/kernel/time.c,246,47,736,26,1308,214
/cmpt816/linux/arch/x86_64/kernel/ioport.c,38,3,52,10,118,16
/cmpt816/linux/arch/x86_64/kernel/ldt.c,23,9,187,13,254,29
/cmpt816/linux/arch/x86_64/kernel/setup.c,205,41,860,46,1350,199
/cmpt816/linux/arch/x86_64/kernel/i8259.c,165,28,264,24,602,81
/cmpt816/linux/arch/x86_64/kernel/sys_x86_64.c,22,6,110,16,171,18
/cmpt816/linux/arch/x86_64/kernel/x8664_ksyms.c,6,0,0,33,206,33
/cmpt816/linux/arch/x86_64/kernel/i387.c,32,8,91,9,156,18
/cmpt816/linux/arch/x86_64/kernel/syscall.c,2,1,5,6,27,7
/cmpt816/linux/arch/x86_64/kernel/vsyscall.c,29,15,142,14,227,30
/cmpt816/linux/arch/x86_64/kernel/setup64.c,61,9,151,20,287,45
/cmpt816/linux/arch/i386/kernel/bootflag.c,5,5,60,10,100,15
/cmpt816/linux/arch/i386/kernel/cpuid.c,31,13,151,19,247,34
/cmpt816/linux/arch/i386/kernel/i8237.c,13,5,37,3,68,14
/cmpt816/linux/arch/i386/kernel/cpu/intel_cacheinfo.c,74,32,413,9,612,87
/cmpt816/linux/arch/i386/kernel/msr.c,32,19,217,18,328,47
/cmpt816/linux/arch/i386/kernel/quirks.c,11,1,25,3,53,9
/cmpt816/linux/arch/ia64/lib/swiotlb.c,220,21,287,13,658,77
/cmpt816/linux/arch/i386/mach-default/topology.c,32,4,34,6,98,14
/cmpt816/linux/arch/x86_64/kernel/e820.c,169,14,369,13,622,61
/cmpt816/linux/arch/x86_64/kernel/reboot.c,21,8,95,15,163,28
/cmpt816/linux/arch/x86_64/kernel/mce.c,90,32,434,18,652,82
/cmpt816/linux/arch/x86_64/kernel/mce_intel.c,8,3,65,7,100,18
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/main.c,240,21,367,10,716,73
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/if.c,17,11,302,8,375,33
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/generic.c,65,20,271,10,419,66
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/state.c,17,3,41,6,79,15
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/amd.c,50,5,53,5,122,11
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/cyrix.c,60,12,245,6,365,43
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/centaur.c,58,11,117,5,224,24
/cmpt816/linux/arch/i386/kernel/acpi/boot.c,240,37,656,15,1151,163
/cmpt816/linux/arch/i386/kernel/cpu/cpufreq/acpi-cpufreq.c,74,16,320,14,560,101
/cmpt816/linux/arch/i386/kernel/cpu/cpufreq/powernow-k8.c,113,37,824,14,1184,216
/cmpt816/linux/arch/x86_64/kernel/smp.c,175,25,272,16,548,69
/cmpt816/linux/arch/x86_64/kernel/smpboot.c,375,32,560,19,1170,167
/cmpt816/linux/arch/x86_64/kernel/apic.c,348,38,561,17,1094,138
/cmpt816/linux/arch/x86_64/kernel/nmi.c,87,28,351,20,591,75
/cmpt816/linux/arch/x86_64/kernel/io_apic.c,384,70,1219,19,1975,281
/cmpt816/linux/arch/x86_64/kernel/mpparse.c,190,25,598,17,989,139
/cmpt816/linux/arch/x86_64/kernel/genapic.c,35,4,59,11,127,16
/cmpt816/linux/arch/x86_64/kernel/genapic_cluster.c,37,9,73,9,135,15
/cmpt816/linux/arch/x86_64/kernel/genapic_flat.c,40,15,119,9,192,25
/cmpt816/linux/arch/x86_64/kernel/suspend.c,48,12,161,6,271,41
/cmpt816/linux/arch/x86_64/kernel/early_printk.c,22,14,186,10,274,37
/cmpt816/linux/arch/x86_64/kernel/pci-gart.c,137,26,629,20,979,111
/cmpt816/linux/arch/x86_64/kernel/aperture.c,51,6,178,13,285,36
/cmpt816/linux/arch/x86_64/kernel/kprobes.c,227,24,381,10,694,65
/cmpt816/linux/arch/x86_64/kernel/pmtimer.c,29,4,39,9,102,19
/cmpt816/linux/arch/x86_64/kernel/module.c,25,7,98,10,171,21
/cmpt816/linux/arch/x86_64/kernel/head64.c,13,4,67,12,113,14
/cmpt816/linux/arch/x86_64/kernel/init_task.c,19,1,2,10,50,8
/cmpt816/linux/arch/x86_64/mm/init.c,51,26,403,30,591,83
/cmpt816/linux/arch/x86_64/mm/fault.c,139,9,334,28,574,58
/cmpt816/linux/arch/x86_64/mm/ioremap.c,63,8,164,9,271,24
/cmpt816/linux/arch/x86_64/mm/extable.c,5,1,18,5,36,4
/cmpt816/linux/arch/x86_64/mm/pageattr.c,32,11,166,10,234,20
/cmpt816/linux/arch/i386/mm/hugetlbpage.c,45,12,175,13,290,38
/cmpt816/linux/arch/x86_64/mm/numa.c,17,13,218,14,312,46
/cmpt816/linux/arch/x86_64/mm/k8topology.c,10,2,123,13,176,30
/cmpt816/linux/arch/x86_64/mm/srat.c,17,14,179,8,234,23
/cmpt816/linux/arch/x86_64/ia32/sys_ia32.c,52,51,743,51,1028,124
/cmpt816/linux/arch/x86_64/ia32/ia32_ioctl.c,28,7,128,7,211,30
/cmpt816/linux/arch/x86_64/ia32/ia32_signal.c,54,13,449,24,627,79
/cmpt816/linux/arch/x86_64/ia32/tls32.c,17,6,92,10,164,30
/cmpt816/linux/arch/x86_64/ia32/ia32_binfmt.c,68,17,187,25,431,62
/cmpt816/linux/arch/x86_64/ia32/fpu32.c,24,6,128,5,185,19
/cmpt816/linux/arch/x86_64/ia32/ptrace32.c,22,4,287,16,380,47
/cmpt816/linux/arch/x86_64/ia32/syscall32.c,10,6,64,10,109,16
/cmpt816/linux/arch/x86_64/ia32/ipc32.c,2,1,36,11,58,7
/cmpt816/linux/arch/x86_64/ia32/ia32_aout.c,57,11,365,25,531,63
/cmpt816/linux/kernel/sched.c,1422,192,3246,31,5650,722
/cmpt816/linux/kernel/fork.c,227,32,844,38,1325,171
/cmpt816/linux/kernel/exec_domain.c,18,9,130,10,210,39
/cmpt816/linux/kernel/panic.c,54,5,78,11,176,19
/cmpt816/linux/kernel/printk.c,275,34,597,16,1035,96
/cmpt816/linux/kernel/profile.c,68,31,382,15,568,63
/cmpt816/linux/kernel/exit.c,362,43,963,28,1562,172
/cmpt816/linux/kernel/itimer.c,20,6,196,7,245,18
/cmpt816/linux/kernel/time.c,161,17,325,10,593,67
/cmpt816/linux/kernel/softirq.c,82,24,295,11,497,83
/cmpt816/linux/kernel/resource.c,57,26,374,12,551,82
/cmpt816/linux/kernel/sysctl.c,592,72,1405,27,2368,137
/cmpt816/linux/kernel/capability.c,59,4,127,5,235,34
/cmpt816/linux/kernel/ptrace.c,49,15,289,12,406,53
/cmpt816/linux/kernel/timer.c,449,62,901,19,1636,196
/cmpt816/linux/kernel/user.c,32,9,116,5,194,31
