filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,195,46,579,75,1049,140
/cmpt816/linux/init/version.c,8,1,19,7,54,6
/cmpt816/linux/init/do_mounts.c,85,22,420,24,641,81
/cmpt816/linux/init/do_mounts_initrd.c,22,4,80,10,138,18
/cmpt816/linux/init/do_mounts_md.c,51,6,211,4,313,34
/cmpt816/linux/init/initramfs.c,23,32,526,13,659,65
/cmpt816/linux/init/calibrate.c,80,8,186,6,316,33
/cmpt816/linux/init/init_task.c,5,1,2,11,27,5
/cmpt816/linux/arch/x86/ia32/sys_ia32.c,35,18,140,26,246,28
/cmpt816/linux/arch/x86/ia32/ia32_signal.c,62,14,321,25,501,82
/cmpt816/linux/arch/x86/ia32/nosyscall.c,0,1,4,2,8,2
/cmpt816/linux/arch/x86/ia32/syscall_ia32.c,5,1,5,6,26,6
/cmpt816/linux/arch/x86/ia32/audit.c,0,6,41,6,44,7
/cmpt816/linux/arch/x86/kernel/process_64.c,139,15,360,34,608,60
/cmpt816/linux/arch/x86/kernel/signal.c,136,25,499,27,813,123
/cmpt816/linux/arch/x86/kernel/traps.c,222,29,511,47,947,118
/cmpt816/linux/arch/x86/kernel/irq.c,88,11,292,17,469,62
/cmpt816/linux/arch/x86/kernel/irq_64.c,16,2,42,11,90,15
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,67,9,211,12,352,48
/cmpt816/linux/arch/x86/kernel/time.c,23,7,49,11,98,11
/cmpt816/linux/arch/x86/kernel/ioport.c,35,2,49,13,115,17
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,203,12,273,32
/cmpt816/linux/arch/x86/kernel/dumpstack.c,47,18,200,14,350,48
/cmpt816/linux/arch/x86/kernel/nmi.c,178,22,260,16,563,78
/cmpt816/linux/arch/x86/kernel/setup.c,213,42,694,81,1283,219
/cmpt816/linux/arch/x86/kernel/x86_init.c,10,15,110,20,154,22
/cmpt816/linux/arch/x86/kernel/i8259.c,120,25,215,22,418,53
/cmpt816/linux/arch/x86/kernel/irqinit.c,46,8,92,26,195,31
/cmpt816/linux/arch/x86/kernel/jump_label.c,40,6,78,9,145,13
/cmpt816/linux/arch/x86/kernel/irq_work.c,5,5,33,5,51,7
/cmpt816/linux/arch/x86/kernel/probe_roms.c,11,13,184,21,269,52
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,21,7,117,19,193,27
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,7,0,0,8,76,13
/cmpt816/linux/arch/x86/kernel/syscall_64.c,6,1,5,7,33,7
/cmpt816/linux/arch/x86/kernel/vsyscall_gtod.c,14,2,40,3,71,12
/cmpt816/linux/arch/x86/kernel/vsyscall_64.c,72,13,200,9,336,51
/cmpt816/linux/arch/x86/kernel/espfix_64.c,57,4,83,10,206,32
/cmpt816/linux/arch/x86/kernel/ksysfs.c,11,20,260,9,341,56
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,61,8,102,21
/cmpt816/linux/arch/x86/kernel/e820.c,264,39,668,15,1132,149
/cmpt816/linux/arch/x86/kernel/pci-dma.c,35,9,163,15,285,42
/cmpt816/linux/arch/x86/kernel/quirks.c,79,20,341,3,629,91
/cmpt816/linux/arch/x86/kernel/topology.c,52,7,79,7,174,20
/cmpt816/linux/arch/x86/kernel/kdebugfs.c,9,8,151,9,215,41
/cmpt816/linux/arch/x86/kernel/alternative.c,123,29,407,20,678,82
/cmpt816/linux/arch/x86/kernel/i8253.c,16,2,12,7,44,5
/cmpt816/linux/arch/x86/kernel/pci-nommu.c,17,6,54,9,100,11
/cmpt816/linux/arch/x86/kernel/hw_breakpoint.c,142,16,286,14,526,73
/cmpt816/linux/arch/x86/kernel/tsc.c,408,40,575,20,1241,182
/cmpt816/linux/arch/x86/kernel/tsc_msr.c,42,4,58,5,128,17
/cmpt816/linux/arch/x86/kernel/io_delay.c,21,5,90,6,132,12
/cmpt816/linux/arch/x86/kernel/rtc.c,27,9,132,12,210,31
/cmpt816/linux/arch/x86/kernel/pci-iommu_table.c,5,4,47,4,80,15
/cmpt816/linux/arch/x86/kernel/resource.c,7,3,30,2,51,10
/cmpt816/linux/arch/x86/kernel/process.c,78,33,271,28,472,68
/cmpt816/linux/arch/x86/kernel/i387.c,125,26,369,12,641,96
/cmpt816/linux/arch/x86/kernel/xsave.c,201,22,407,7,742,113
